//===== Hercules Script ======================================
//= Mapflag: Disable Ice Wall.
//===== By: ==================================================
//= Hercules Dev Team
//===== Current Version: =====================================
//= 1.8
//===== Description: =========================================
//= Blocks usage of WZ_ICEWALL.
//===== Additional Comments: =================================
//= 1.6a - Re-enabled icewalls for cities [Lupus]
//= 1.7 - Officially icewall is allowed on interiors. [L0ne_w0lf]
//= 1.8 - Fixed arug_cas map names.
//============================================================

//ayo_in01	mapflag	noicewall
//ayo_in02	mapflag	noicewall
//alberta_in	mapflag	noicewall
//alberta	mapflag	noicewall
//alde_alche	mapflag	noicewall
//aldeba_in	mapflag	noicewall
//aldebaran	mapflag	noicewall
//ama_in01	mapflag	noicewall
//ama_in02	mapflag	noicewall
//amatsu	mapflag	noicewall
//ayothaya	mapflag	noicewall
//cmd_in01	mapflag	noicewall
//cmd_in02	mapflag	noicewall
//comodo	mapflag	noicewall
//einbroch	mapflag	noicewall
//einbech	mapflag	noicewall
//gef_tower	mapflag	noicewall
//geffen	mapflag	noicewall
//geffen_in	mapflag	noicewall
//gon_in	mapflag	noicewall
//gonryun	mapflag	noicewall
//in_hunter	mapflag	noicewall
//in_moc_16	mapflag	noicewall
//in_orcs01	mapflag	noicewall
//izlude_in	mapflag	noicewall
//izlude	mapflag	noicewall
//hugel	mapflag	noicewall
//jawaii	mapflag	noicewall
//moc_castle	mapflag	noicewall
//monk_in	mapflag	noicewall
//morocc_in	mapflag	noicewall
//morocc	mapflag	noicewall
//mosk_in	mapflag	noicewall
//payon_in01	mapflag	noicewall
//payon_in02	mapflag	noicewall
//payon_in03	mapflag	noicewall
//payon	mapflag	noicewall
//pay_arche	mapflag	noicewall
//prt_are_in	mapflag	noicewall
//prt_are01	mapflag	noicewall
//prt_castle	mapflag	noicewall
//prt_church	mapflag	noicewall
//prt_in	mapflag	noicewall
//prontera	mapflag	noicewall
//sec_in01	mapflag	noicewall
//job_sword1	mapflag	noicewall
//um_in	mapflag	noicewall
//umbala	mapflag	noicewall
//xmas_in	mapflag	noicewall
//xmas	mapflag	noicewall
//yuno_in01	mapflag	noicewall
//yuno_in02	mapflag	noicewall
//yuno_in03	mapflag	noicewall
//yuno_in04	mapflag	noicewall
//yuno_in05	mapflag	noicewall
//yuno	mapflag	noicewall
//gon_test	mapflag	noicewall
//nif_in	mapflag	noicewall
//louyang	mapflag	noicewall
//que_sign01	mapflag	noicewall
//ein_in01	mapflag	noicewall
//airport	mapflag	noicewall
//airplane	mapflag	noicewall
//airplane_01	mapflag	noicewall
//lighthalzen	mapflag	noicewall
//yuno_pre	mapflag	noicewall
//y_airport	mapflag	noicewall
//lhz_airport	mapflag	noicewall
//lhz_in01	mapflag	noicewall
//lhz_in02	mapflag	noicewall
//lhz_in03	mapflag	noicewall
//rachel	mapflag	noicewall
//ra_in01	mapflag	noicewall
//ra_temin	mapflag	noicewall
//ra_temple	mapflag	noicewall
//ra_temsky	mapflag	noicewall
//que_rachel	mapflag	noicewall
//auction_01	mapflag	noicewall
//auction_02	mapflag	noicewall
//hu_in01	mapflag	noicewall
//kh_mansion	mapflag	noicewall
//kh_rossi	mapflag	noicewall
//kh_school	mapflag	noicewall
//kh_vila	mapflag	noicewall
//ve_in	mapflag	noicewall
//ve_in02	mapflag	noicewall

// Guild Castles ==========
aldeg_cas01	mapflag	noicewall
aldeg_cas02	mapflag	noicewall
aldeg_cas03	mapflag	noicewall
aldeg_cas04	mapflag	noicewall
aldeg_cas05	mapflag	noicewall
gefg_cas01	mapflag	noicewall
gefg_cas02	mapflag	noicewall
gefg_cas03	mapflag	noicewall
gefg_cas04	mapflag	noicewall
gefg_cas05	mapflag	noicewall
payg_cas01	mapflag	noicewall
payg_cas02	mapflag	noicewall
payg_cas03	mapflag	noicewall
payg_cas04	mapflag	noicewall
payg_cas05	mapflag	noicewall
prtg_cas01	mapflag	noicewall
prtg_cas02	mapflag	noicewall
prtg_cas03	mapflag	noicewall
prtg_cas04	mapflag	noicewall
prtg_cas05	mapflag	noicewall
//schg_cas01	mapflag	noicewall	 // [DESABILITADO]
//schg_cas02	mapflag	noicewall	 // [DESABILITADO]
//schg_cas03	mapflag	noicewall	 // [DESABILITADO]
//schg_cas04	mapflag	noicewall	 // [DESABILITADO]
//schg_cas05	mapflag	noicewall	 // [DESABILITADO]
//arug_cas01	mapflag	noicewall	 // [DESABILITADO]
//arug_cas02	mapflag	noicewall	 // [DESABILITADO]
//arug_cas03	mapflag	noicewall	 // [DESABILITADO]
//arug_cas04	mapflag	noicewall	 // [DESABILITADO]
//arug_cas05	mapflag	noicewall	 // [DESABILITADO]
// Novice Guild Castles ===
//nguild_alde	mapflag	noicewall	 // [DESABILITADO]
//nguild_gef	mapflag	noicewall	 // [DESABILITADO]
//nguild_pay	mapflag	noicewall	 // [DESABILITADO]
//nguild_prt	mapflag	noicewall	 // [DESABILITADO]

//Endless Tower ==================
//1@tower	mapflag	noicewall	 // [DESABILITADO]
//2@tower	mapflag	noicewall	 // [DESABILITADO]
//3@tower	mapflag	noicewall	 // [DESABILITADO]
//4@tower	mapflag	noicewall	 // [DESABILITADO]
//5@tower	mapflag	noicewall	 // [DESABILITADO]
//6@tower	mapflag	noicewall	 // [DESABILITADO]

// Orc's Memory ===================
//1@orcs	mapflag	noicewall	 // [DESABILITADO]
//2@orcs	mapflag	noicewall	 // [DESABILITADO]

// Nidhoggr's Instance ===========
//1@nyd	mapflag	noicewall	 // [DESABILITADO]
//2@nyd	mapflag	noicewall	 // [DESABILITADO]

// Misty Forest Labyrinth ===========
//1@mist	mapflag	noicewall	 // [DESABILITADO]

// Octopus Cave ===========
//1@cash	mapflag	noicewall	 // [DESABILITADO]

// Drain ===========
//1@pump	mapflag	noicewall	 // [DESABILITADO]
//2@pump	mapflag	noicewall	 // [DESABILITADO]

// Somatology Laboratory ===========
//1@lhz	mapflag	noicewall	 // [DESABILITADO]

// Bangungot Hospital F2 ===========
//1@ma_h	mapflag	noicewall	 // [DESABILITADO]

// Buwaya Cave ===========
//1@ma_c	mapflag	noicewall	 // [DESABILITADO]

// Bakonawa Hideout ===========
//1@ma_b	mapflag	noicewall	 // [DESABILITADO]

// Inside Eclage ===========
//1@ecl	mapflag	noicewall	 // [DESABILITADO]

// Poring War ====================
//poring_w01	mapflag	noicewall	 // [DESABILITADO]
//poring_w02	mapflag	noicewall	 // [DESABILITADO]
